"gbifid","species","decimallatitude","decimallongitude","taxonkey"
382069658,"Myrmecophaga tridactyla",-25.66335,-54.50561,"2436346"
382069711,"Myrmecophaga tridactyla",-25.70538,-54.44097,"2436346"
382069716,"Myrmecophaga tridactyla",-25.66549,-54.51094,"2436346"
382069733,"Myrmecophaga tridactyla",-25.11969,-58.11759,"2436346"
382069746,"Myrmecophaga tridactyla",-25.8875,-54.5619,"2436346"
1318479415,"Myrmecophaga tridactyla",6.82,-63.48,"7193860"
1320060475,"Myrmecophaga tridactyla",6.82,-63.48,"7193860"
665904749,"Myrmecophaga tridactyla",3.283333,-73.883333,"2436346"
665904750,"Myrmecophaga tridactyla",3.283333,-73.883333,"2436346"
665904751,"Myrmecophaga tridactyla",3.283333,-73.883333,"2436346"
665904760,"Myrmecophaga tridactyla",3.283333,-73.883333,"2436346"
665914019,"Myrmecophaga tridactyla",0.116667,-78.833333,"2436346"
665915619,"Gazella gazella",14.766667,44.35,"5706422"
665915620,"Gazella gazella",14.766667,44.35,"5706422"
1249283121,"Gazella gazella",33.170705,35.765625,"5220154"
686432079,"Ursus thibetanus",16.078061477645,101.239817634511,"7193951"
919445129,"Ursus thibetanus",11.93333,108.41666,"2433425"
380185733,"Ursus thibetanus",37.1417,138.752,"6163862"
380185734,"Ursus thibetanus",37.1417,138.752,"6163862"
1324636522,"Ursus thibetanus",37.556153,140.830917,"2433425"
1275217358,"Ursus thibetanus",37.556153,140.830917,"2433425"
1325930792,"Ursus thibetanus",35.6611000346576,136.0889,"6163862"
1325930800,"Ursus thibetanus",35.6611000346576,136.0889,"6163862"
1325930801,"Ursus thibetanus",35.6611000346576,136.0889,"6163862"
1325930802,"Ursus thibetanus",35.6611000346576,136.0889,"6163862"
1317965565,"Myrmecophaga tridactyla",6.55,-67.22,"7193860"
1427432454,"Myrmecophaga tridactyla",6.816306,-70.070056,"2436346"
1427432526,"Myrmecophaga tridactyla",6.818472,-70.981667,"2436346"
1427432538,"Myrmecophaga tridactyla",6.811278,-70.991944,"2436346"
735662647,"Myrmecophaga tridactyla",34.419444,-119.663056,"2436346"
735666128,"Myrmecophaga tridactyla",34.419444,-119.663056,"2436346"
699445840,"Myrmecophaga tridactyla",4.893583,-72.391206,"2436346"
699445846,"Myrmecophaga tridactyla",4.893583,-72.391206,"2436346"
699445851,"Myrmecophaga tridactyla",4.893583,-72.391206,"2436346"
699445857,"Myrmecophaga tridactyla",4.893583,-72.391206,"2436346"
699445862,"Myrmecophaga tridactyla",4.893583,-72.391206,"2436346"
699445868,"Myrmecophaga tridactyla",4.893583,-72.391206,"2436346"
699445878,"Myrmecophaga tridactyla",4.893583,-72.391206,"2436346"
699445883,"Myrmecophaga tridactyla",4.893583,-72.391206,"2436346"
699445887,"Myrmecophaga tridactyla",4.893583,-72.391206,"2436346"
910494822,"Myrmecophaga tridactyla",-20.477521,-55.907565,"2436346"
1703045633,"Myrmecophaga tridactyla",4.08893,-73.10852,"2436346"
1586204843,"Myrmecophaga tridactyla",-2.665271,-75.431104,"2436346"
896996583,"Panthera tigris",61.218033,-149.899943,"5219420"
1453697963,"Notomys aquilo",-14.173194,136.707097,"2438978"
1453703163,"Notomys aquilo",-14.2617,136.845,"2438978"
1453894154,"Notomys aquilo",-13.89416,136.83922,"2438978"
1453894155,"Notomys aquilo",-14.08655,136.50544,"2438978"
1453883433,"Notomys aquilo",-13.84856,136.801166,"2438978"
1453883434,"Notomys aquilo",-13.84856,136.817866,"2438978"
1453882405,"Notomys aquilo",-14.098561,136.434471,"2438978"
1453882408,"Notomys aquilo",-13.848562,136.41787,"2438978"
1453882412,"Notomys aquilo",-13.981891,136.46784,"2438978"
1453882550,"Notomys aquilo",-12.415166,136.867158,"2438978"
1453882609,"Notomys aquilo",-12.348566,136.967757,"2438978"
1453883469,"Notomys aquilo",-12.415166,136.867158,"2438978"
1453883472,"Notomys aquilo",-13.86526,136.834466,"2438978"
1453883482,"Notomys aquilo",-13.84856,136.801166,"2438978"
1453883495,"Notomys aquilo",-12.348566,136.967757,"2438978"
1453884685,"Notomys aquilo",-13.84856,136.801166,"2438978"
1453884704,"Notomys aquilo",-13.86526,136.834466,"2438978"
1453884715,"Notomys aquilo",-13.84856,136.817866,"2438978"
1211990786,"Gazella gazella",33.107917,35.691297,"5220154"
1211999675,"Gazella gazella",33.183057,35.691887,"5220154"
1098627278,"Pan troglodytes",0.7784,30.4353,"5219534"
1668860794,"Panthera leo",10.626132,14.410718,"7059275"
1668885940,"Panthera leo",-26.781347,23.365216,"5219411"
1668886001,"Panthera leo",-26.725679,23.258633,"5219411"
1607311368,"Panthera leo",-0.347955,36.069832,"5219404"
1607311386,"Panthera leo",-3.342064,38.609734,"5219404"
1607333232,"Panthera leo",-7.692446,38.110714,"5219404"
1607333250,"Panthera leo",-7.693893,38.116464,"5219404"
1586140794,"Panthera leo",-25.239196,28.949263,"5219411"
1147246183,"Myrmecophaga tridactyla",-12.88,-69.28,"2436346"
197156167,"Myrmecophaga tridactyla",3.268,-58.811,"2436346"
197156209,"Myrmecophaga tridactyla",-18.75,-62.217,"2436346"
197156348,"Myrmecophaga tridactyla",-19.917,-62.567,"2436346"
197156387,"Myrmecophaga tridactyla",-2.167,-80.033,"2436346"
197156580,"Myrmecophaga tridactyla",-13.142,-69.607,"2436346"
197156594,"Myrmecophaga tridactyla",3.25,-59.25,"2436346"
197156605,"Myrmecophaga tridactyla",-12.838,-69.295,"2436346"
197156714,"Myrmecophaga tridactyla",-10.767,-66.733,"2436346"
197156813,"Myrmecophaga tridactyla",-13,-69.083,"2436346"
197156815,"Myrmecophaga tridactyla",-19.917,-62.567,"2436346"
197156816,"Myrmecophaga tridactyla",-18.75,-62.217,"2436346"
1098654420,"Myrmecophaga tridactyla",3.613061,-73.651517,"2436346"
1052779421,"Panthera leo",-2.70265,37.323867,"5219404"
919423302,"Panthera leo",-1.28333,34.64758,"5219404"
899937688,"Panthera leo",-19.13622,16.376672,"5219411"
1147142874,"Pan troglodytes",0.564864,30.35933,"5219534"
1147196224,"Pan troglodytes",0.564864,30.35933,"5219534"
1147202381,"Pan troglodytes",0.448423,30.386266,"5219534"
197163314,"Pan troglodytes",7.496,-8.834,"5707422"
197163351,"Pan troglodytes",6.174,-7.788,"5219534"
197163378,"Pan troglodytes",5.533,-2.617,"5707422"
197163414,"Pan troglodytes",8.531,-8.906,"5707422"
197163421,"Pan troglodytes",8.525,-8.937,"5707422"
197163434,"Pan troglodytes",8.531,-8.906,"5707422"
197163445,"Pan troglodytes",8.525,-8.937,"5707422"
1098627227,"Pan troglodytes",0.4634,30.3813,"5219534"
1098627237,"Pan troglodytes",0.5624,29.9899,"5219534"
1098627248,"Pan troglodytes",-0.3555,30.2193,"5219534"
1098627253,"Pan troglodytes",0.8054,30.0214,"5219534"
1098627255,"Pan troglodytes",-1.0407,29.7744,"5219534"
1098627256,"Pan troglodytes",-0.365,30.0985,"5219534"
1098627257,"Pan troglodytes",-0.9939,29.6169,"5219534"
1098627258,"Pan troglodytes",-0.3698,30.1031,"5219534"
1098627259,"Pan troglodytes",-0.3695,30.1068,"5219534"
1098627265,"Pan troglodytes",0.7694,30.4353,"5219534"
1098627268,"Pan troglodytes",-0.4274,30.0124,"5219534"
1098627270,"Pan troglodytes",1.8313,31.6052,"5219534"
1098627272,"Pan troglodytes",-0.3544,30.1426,"5219534"
1098627273,"Pan troglodytes",-0.2038,30.2432,"5219534"
1098627275,"Pan troglodytes",0.2385,30.4983,"5219534"
1098627276,"Pan troglodytes",0.2385,29.9719,"5219534"
1098627277,"Pan troglodytes",-0.3653,30.0992,"5219534"
1092911866,"Gazella gazella",31.78,35.09,"5220154"
1092911869,"Gazella gazella",31.78,35.09,"5220154"
1092915987,"Gazella gazella",33.12,35.55,"5220154"
1092916010,"Gazella gazella",33.12,35.55,"5220154"
1092916011,"Gazella gazella",33.12,35.55,"5220154"
1092916012,"Gazella gazella",33.12,35.55,"5220154"
1092916018,"Gazella gazella",33.12,35.55,"5220154"
1092916020,"Gazella gazella",33.12,35.55,"5220154"
1092916021,"Gazella gazella",33.12,35.55,"5220154"
